Insult,Comment
0,It is only normal to reply IG stories if you know her well or you are interested in her to get her attention
0,Thats not true. Short girls will find taller guys. Short guys with money will also find tall girls. Just saying
1," Many Singaporean boys have a shit load of complains about who Singaporean women can find attractive/can date, maybe because of they really got no life."
1,Rather than posting err. I rather she don't post anything at all.
1,"Because they always tend to go for the ""exotic looking"" ones (read - ugly), with extremely small eyes or exaggerated Asian features. Most Asian guys won't even find them attractive anyway!"
1,U must be very free to be hantu and take people’s pictures behind their back. Draw some balls for yourself.
0,"If you want to be a vigilante, then go join the police. Why are people so nasty."
0,Wah piang wts is this!!!?
0,what time you pangsai and orh pisai also need to tell us?
1,ts ish no education smelly dog loosers his face rook rike gotch rub wit mrstinkie95 kkj
1,go n commits suicide rah chiu useless dog
0,Go and work stop looking at forums
1,You need professional help.
0,You come here i pay you 600 u bend over so i can shove a broom up ur arse :X
0,McDonald's also need to act pretentious..... Something is wrong
1,Give chance lah. He has nothing else going on in his life leh.
1,Loll .. so triggered then ownself fug off lah
1,"diam lah, talk so much cog"
0,Siaolang. Not happy then dun come online read comments luh
0,"LOL at ibs getting triggered by a mere forum. If anything, you should be thankful that we have a media ranked 154th. Name me another democratic country where the media allow you to get away with making such horrendous judgement calls when lives are at stake."
1,"What the ****??? You all really have brain issue, already say not IB."
0,is kkj ache a symptom of covid 19 or too much prawns??
0,Sinkies are a bunch of whiners
0,Wah no offence. This ts work as blue collar job income so Low. Still can spend so much on food. Jin satki.
0,"you should ask your masters don't act smart gey kiang smlj circuit breaker end up so much confusion. want to lock down, call it a lockdown, then you don't have to blame people for not cooperating."
1,fuking lunatic get a life
1,Take at ur ****ing face la who will like u
0,"Guys, he craves the attention. If we just ignore him, he'll disappear for good"
1,"Really have the ""Will never make it in life"" look"
1,You this chao fker still talk about FW when everybody else is emphasising internal transfer FT. How low can you go?
1,If you just go 'woof woof' you'll make more sense you know
1,You are officially seriously retarded. I feel sad for you.
0,Facts don’t care about your feelings.
1,You all are loser then nobody want to hire you. Please dont blame the foreign talent or government. Please go and live in other countries like you all like Taiwan or Hong Kong see whether you are better.
0,"Here a lot of those who complain richer than u, they are not loser haha"
1,Behind closed doors say u so xia suay. Come out say no Singaporean will be left behind lolol.
0,"Can't even afford to have $5 . Boy , you need help. For a start , if you were to put your effort in enriching yourself in real life instead of typing so much crap, you will have more than $5. People pay you drink beer somemore . You need help."
1,since when he got drive to improve himself? improve in what area? at being useless?
1,Ur the biggest humji still dare talk
1,"just bunch of loser in REAL LIFE , online try to be smart , actually is self owned , go CSI , google etc people info"
0,Jin satki man come lim peh clap for you
0,"TS and white dogs if you all have no ideas and suggestions to help Singaporeans, ministers and the govt to do better. Why don't you shut the fark up?"
0,u look like those chao ah tiong
1,Do us a favour Take a long walk on a short pier Bye You will not be missed
0,Do me a favour and keep off the internet.
1,"When ppl comment, you ask them go run since you so clever. Ask you go run nia, you jjww like a wuss. Dun double standards lah. You comment can, ppl comment must go run ah. Somemore is you jio ppl to run one."
0,wow end shift so late. u are a hardworking and nice guy. hopefully everything goes well for u in life. thanks!
1,Typical lai liao Woof woof woof Can't use logical arguments start to bark liao
0,"How you going to shut us up? Anyway, we are too good to take over govt. People like us who are honest, hardworking and skeptical are not suitable to be public servants."
0,Why you laosai and vomit still drink milk tea? Try to refrain from dairy stuff. It creates nonsense with your tummy acid.
0,Who let the dogs out woof woof woof woof.
0,"Please don't insult professionals. Just because abuses his vocabulary does not mean he has a good grasp on the english language. You could write as ""well"" as him by using a thesaurus."
0,Fully lockdown 1 week! Let them try the feeling especially the stubborn uncle and auntie and Ang Mo!
1,Wise up lar .. if you have nothing positive to contribute to the current situation ... just keep quiet lar. Everytime open mouth also sound like a clown.
1,Like an entitled whore! All these Generals want to show good KPIs so that can pay millions to themselves! Ptui...!
0,Ownself check ownself
0,"High time to put an end to sweeping under the carpet, speak politically correct and take things lightly if it fits the higher up circles."
1,Bloody disgraceful!!!!
0,"If we don’t stop small perverts today, tomorrow they may turn into rapists and spread the genes!"
0,A big SHAME on the public institutionS who had failed her. So much so that a victim has to go out on display in social media to get her story heard!!
1,Hire stupid low life to tell stupid low life like ME to wear mask..
1,Why go toilet need remove mask? He go suck kkj?
1,Face look like aliens from china
0,Wow you guys are missing the big picture. All these comments here are so toxic and self entitled. Truly third world citizens
0,"Evil society never want take care of their elderly, God will punish them."
1,What a stupid expert. If the bats didn't carry all the diseases how could we have Nipah virus.
1,Go to jail disrespectful idiots
1,Put him to sleep. No need to talk
0,"Don't waste time with all these idiot, let them go and fly kite."
1,Selfish A$$holes...
0,"scare mongering article by ST, on a situation in US. these mongrel reporters in ST, are champion ""cut-paste"" reporters. highly paid for doing very little."
1,"shut up,,,,,just do your work or you will be FIRED!!!!!"
1,"Retarded Trump, this is not the time to fight against China! Most importantly can you solve your country's problems? Big mouth! Always, listen! listen! listen! Listen to you doing nothing to the COVID19!"
0,This Donkey Trump has blood in his hands
0,Some enforcements yayapapa...
0,Body slam the fking aggressors pls
0,Isn’t this supposed to be captain obvious?
0,The problem with ppl .. have so much money until become so stupid ... good luck
1,Please grow up and stop being a loser already! There are more important things to do. Jam up the pandemic instead!
0,"Dorm owners, it’s time to reflect. It’s never too late . RESPECT AMITABHA"
1,Pathetic idiots..selfish!!
0,Encourage people to wear masks? What if we get bashed for doing so?
0,"Nonsense measures. They should stop moving workers here and there and just isolate every dormitory! If they want to move workers, test everyone of them first! Very soon. The virus is everywhere in Singapore! They think they are smart to isolate the healthy workers but how healthy are they without testing them?"
0,Delivery fees is already a killer
0,"Please. We don't give a damn about any fake news. We're old enough to discern. Plus this case is such a trivia to deserve any of our time. Just give us what we want to know, where are we now in terms of the war with the virus."
0,Is this necessary? It is presumptuous to single youth out when it’s obvious they are not the most uncooperative
0,Salute to all the medical staff and those on the Frontline. Thank you!! Let's help by STAYING HOME!
0,Zero hope. The monkeys will just go extinct with the 10million population plan.
0,"With blessings, God gives the hygiene accomodation which they had deserved. Prayers for those who are affected to get well soon."
0,You guys need to stop freaking the hell out over the case count. Anything less than the current and forthcoming numbers would indicate we are under testing.
0,Still got room not bad Liao la :(( 14 days to change for future life.. JIA YOU ah!!!
0,"More people die there due to armed robberies, stabbings, gang clashes, cartel wars and hostage situations gone fatal."
0,"Is anxiety an excuse for the ill-informed information snob, braggart? I have seen ppl sharing all kinds of nonsense, quoting unverifiable sources, what is wrong with this ppl?!"
0,This person really northing to do. Should catch / punish him / her. Make me so worries about the full lockdown.
1,Sibeh damn bloody bo liao those idiots!!
0,"we should be ashamed of ourselves.. see how well behaved the monkeys are, social distancing from each other"
1,"Nonsense rubbish.Everywhere close then why markets,clinics open,close all"
0,"Don’t try to divert attention lah! Discuss the dorms instead of the Parks please! ST, you think everyone stupid?"
1,Ah ah deserve it for not hiring Sporeans.
0,Ah... scared kena lim kopi right... ah very good.... ya ya papaya somemore la...
0,Don't say gahment never give chance
0,Ai.....dun report useless news wait your boss.angery
0,Actually who gives a F now when we are all struggling to survive during these hard times ... when things start to get back to normal then talk
0,Nothing to report liao? Expected one mah.. if not rise in passengers meh
1,"Kudos to LTA enforcement officer, cool and composed, you must know your work very well, you understand and calm each and everyone hearing your good advise. (You didn’t realised monkey is recording you too, cause only small dd donkey do monkey business, if you know what I mean) Don’t be disheartened, you are doing a great job under hot sun. You went extramiles which the Country most needed now. With this “I Salute You” and I will salute you whenever I see you. “Well done” and bubbles tea on me!"
0,"put on mask after smoke take only 1 min, small boy also can do it. Argue so much for what"
1,"DIU~~~~ This HGC really asking for it... Later garhemen say all CB dont allow smoking, then you see how many butts you need to eat from every smoker…"
0,"I do agree the LTA officer acted in a professional way, but who confronted who in the first place? LTA said the delivery rider confronted the LTA officer, was that so?? If the rider has been smoking in a non-prohibited place, why did the officer confront the rider? Doesn't he know how to put on a mask properly? Anybody would get upset if an enforcement officer confronted you even though no offence was made. If the LTA officer has mistaken the rider for not putting on a mask while he was smoking, why can't the officer apologies for the mistake? This rider must be very upset for being confronted by so many enforcement officers when he did nothing wrong, but members of the public eyes thinks otherwise."
0,Excuse him...he has no other job.....sure he learnt his lesson... delivery is now very competitive...just give him a break this time.
0,"Because of this LTA officer, the rider still have $300 in your pocket, at least for now. In the end, this money will be spent on cigarettes anyways...sigh."
1,rider no one say you cannot smoke but pls once you inhale the cigarette smoke quickly cover up your mouth with mask and let the smoke exhaust out from your ash hole you understand CCB
1,You dont be so DumbCCB Ash*le can or not? .. Inhale cigarette then put on mask on and off ?? Your blardy common sense teach u is it? U want rider to dye from smoking is it.. Damn stuppiak people think this way is it.. If jogger and those exercise can have priviledge not wearing mask then why smoker cannot only 10 or 15 minutes only somemore the smoke is like fumigation who knows help to kill bad air around like kill mosquitoes ... SO USE YOUR BRAIN... USE YOUR BRAIIIINNNNNNN OK!
0,"""Smoke helps kill virus "" Then everyone from now on must smoke to kill corona virus ."
1,"from the conversation and tone , it obvious who is the sucker"
1,He's smoking in a smoking corner. And he's delivery rider so he's always outdoors. What's wrong with that? Dumbass authorities just want to hit their KPIs
0,The officer didn't fine him.
0,Blindly enforcing cos newly instilled power so he is power hungry
0,"Government forgot to mention that besides strenuous exercise, smokers have to put back on their mask after smoking. It's that simple."
0,You know what is inside the greeny bag behind them!! Not all but If you are unlucky.. 1. Unwashed zero maintenance in it. 2. Overnight spilled sauce or dry up soups. 3. Greeny unwashed uniform and helmets. 4 on the way slipper or old shoe if grabie see one. 5. Last but not least all sort of things you cannot imagine including tinny tiny little ones.  Enjoy your meal.
0,Rider should be thankful that the enforcement officer is a really cool guy.
1,"This motherfcuker Is born to give ppl trouble. This LTA Guy is doing as a part of the nation wide exercise during this period of difficult time, I bravo his attitude towards the nation social responsibility. KNN the motherfcuker, challenge everyone who go against his way. I BET he is only good for doing trash and Asap Rokok rokok. My middle to you."
0,"See a small group of Grab Food deliverymen gathered together on the ground floor chatting happily everyday when they have no business. Approached them nicely and explained to them the CB measures, they all got up and surrounded me wanted to pick a fight. Even patrolling policemen also closed one eye and oblivious to them. Where is the law, LAWrence Wong?"
1,Why bully the old uncle who is trying to help YOU by only doing his job! IF you got the balls go directly to our own Singapore Minister's! Ask them ALL the questions about our country LAW! How to smoke with the Mask on? Why so many foreigners getting Singaporean jobs. SMOKERS CANNOT BE THAT STUPIDLY BLOODYFOOLS!
1,And uncle talks politely too. Not like the dumb delivery creature.
0,"Actually, everyone is stressed. Rider just puts on his mask after smoking and continues with his deliveries. In addition, not an easy job for the enforcement officer. Hope CB ends soon."
0,You don’t have to like what he does. But the fact is simple the govt according to you or rather mr Lawrence wrong did not they say you can’t smoke ? Further the more he was smoking at right location. Was that a crime ? No. Further more you don’t think NEA already knows all these hotspots?
0,So you answered your own argument. It’s not crime. Obviously I am learned I don’t have to try. In this case it was the you and the unlearned LTA officer who was trying too hard
0,"Boy boy, do you challenge someone who gives you sound advice? Somemore that someone explained to you nicely but not being nasty. Whether breaking law or not is another story. It is more about the personal moral and upbringing."
0,Agree. People are trying too hard to challenge at even a very small issue
1,Wow !!! Weather or not breaking the law is another story ? You are joke to the judicial system IN Singapore 🇸🇬 Law is not made for u to follow because it’s convenient for u. It’s all for all the time u moron
0,The cigarette smoke must have clouded his brain.That officer was only reminding him nicely to wear his mask for his own good and that of other peoples and yet he still blew up.
1,Must put on mask when talking and taking video la bodoh. We don't see anyone smoking in this video la bodoh
1,"Grab where got time to bother all these monkeys, he care more about his lifestyle and pockets. These monkeys will parked illegally, go against the traffic flow, smoke and ride at the same time, grab anything they see outside your door. Piece of rubbish grabbie.. Unwashed greeny long t. Grab where got time, he care for his apps, so monkeys poke apps everywhere!!"
0,Take video of them & make report. This kind of CB behaviour not acceptable.
1,Looks like the officer is having a hard time trying to educate a Donkey. Reserved one Goody Bag for the officer once everything is over give him the Bag of Goody.
1,"This uncle handle the situation well, very patient and polite. Whereas the smoker is damn rude and arrogant. You think you are very smart by asking stupid question? To me, you are just a FOOL."
1,DISGUSTING human being on earth parent never send him to school and so misbehave
0,942 cases today. Among the highest in the world. The whole world is asking why only 14 local cars but 928 Dormitory cases. Spotlight is on Singapore. All the 1st world sheen is gone. The ugly racist truth of Singapore is exposed
0,Singaporeans here talk big to hide the filthy conditions that existed in dormitories.
1,"She video it to find any possibility to win,,, so stupid to use such skill and waste of everyone time at this moment."
0,"To be very honest,she is quite cute and sexy. Anyone knows her?"
0,"Shameless Singaporeans. First, their carelessness has caused the foreign workers to be infected. Now talk so big. Foreign workers should have been provided adequate protection and facilities. Why were they exposed to undue risk. Singaporeans are totally irresponsible."
0,"in other countries, foreigners r chased out of country or asked to pay for their own medical expenses…"
0,than you must go to a country that can take of you !
0,You must be Wuhan China Virus. Always hiding the truth. Always telling lies.
1,Free money for them if you don’t wear mask and had an attitude like a CB during CB measures
0,"Her attitude is DISREGARDING the 2 Police officers. Similiar to disregarding the Law of SG. In addition, Disrespect is also a part of it."
0,All mortals you can see in the street can be arrested for wrong. It is those on the street and protect by bodyguards are not to be arrested.
0,Most properly a warning given because she is the VIP under CECA. Another wayang.
0,It’s a harsh statement. Not all Singaporeans are racist. Only few. And we should not be like them because of them. Let’s not make a generic statement as such. Let’s be matured individuals.
0,"But those majority kept quiet and allowed racism to happen. 50 years, nothing was done. So when we keep quiet we also become a party to the crime."
0,Definitely not. But to curse a majority saying everyone will suffer and god should punish them ain’t sanity either.
0,Foreign Workers got infected totally due to fault of locals. These workers got infected due to careless behaviour of locals.
0,"Regardless of race, lang, religion or nationality...one who don't respect the law and putting public health at risk shld be dealt with by the law in the most severe form......the last we want is such action set a precedent for others to follow..........Only with every single individual's social responsibility that this nation and society have a fighting chance to stem the tide of this Virus..."
1,"Why don't send these Covidiots to the dormitories as safe distancing ambassadors, pay them a salary BUT no mask to be put on less they pay $100/day to wear one. Then hopefully these IDIOTS will learn a lesson or two."
0,Yes. That's how it was spread into dormitories. Foreign Workers were made use of as Guinea Pigs and they were put into undue risk till they got infected. Investigation should be conducted as to how this virus was allowed to spread into dormitories
1,lets just hope little barbie doesn't grow up to be as fat as her sister..
0,Haiz...5 kids...hope he able to survive well.
1,"2k want to have 5 kids No pity, dont be a burden to society Pls GTFO"
0,The taxi uncle looks decent and quite smart. Have manager face
1,cos your kkj small.
0,Think this family deserves some help la until the eldest can come out work loh.
1,Covid is the karma for evil people.
1,Everyone is turning to medical industry for treatment and cure instead of places of worship. God can't stop this shite? Or deaths ? And then after all these the egoistic humans will go to god and thank him for everything.
0,It's God's will. no matter how advanced your technology is. It's all part of God's plan.
1,Fark this cb god then
1,Not thinking seriously about something has never been an impediment to holding an opinion about it for many people.
1,superficial meh? you are the loser ah
0,"there are many social truths, u know i know can liao. no need to articulate it clearly and make everybody unhappy."
0,LOL lady hv a lot to lose meh? knn guy lagi more to lose ~~ 
1,All these “precious princesses“ kenna schooled from young to think like that. Should just get pumped and dumped and move on.
0,the msg is reasonable what where is the superficial part?
1,"Women have no loyalty, women wont love you like your mother , dont put women on the pedestral dont put her number 1, they dont care how much money you spent on her before and they will leave when there is no more benefit (unless they have no other choice) Below video will wake you up"
0,I find the message reasonable ah...
1,"She got say her friends got suck kkj, CIM and let bf cip? If like that can lah,$300-500 OK rah.But make sure at least 2 twice a few or more. But warn her if her kpi drop you will be replacing her with FW."
1,Not all daughters are equal. Some deserves loser.
1,WHAT A WHORE .
0,Sounds right what. Then you expect your daughter to marry a guy who can't even earn enough to take care of himself meh?
1,Attention seeking whor*
1,err simi lanjiao. Go suck your bro xi kkj since your husband didnt cum inside you for so long
1,can she just diam diam. already shortage of mask and people are helping sg. really ccb.
1,Pappies is the gold standard. Too arrogant to be seen to accept help.
1,"diam lah gong kia, look at ur own kumgongness lol."
1,Wtf this woman got brain anot
0,really jialat max
0,Hope Taiwan donate these. Swee.
0,just in case china buay song
1,Err f off la. Nobody need u to comment
1,"Coach Red Pill mentioned that women look at men and divide them into general 80% of the men (who got no chance in dating them) and the TOP 20% of men (in terms of wealth, looks and fame). Good to see these TOP 20% men fall."
1,TS you suffer from brain damage since young?
1,"Let her kena wuhan & uplorry lor, waste oxygen living on this earth."
1,This type no cure
0,Aunty also quite poor thing.... Can see her frustration... Must be too tired and hungry to walk home eat.....
0,"Why can't we be gracious and give some compassion, it's not like there are people nearby anyway."
1,"she talk cork lah, say wat tired cannot walk back, then how the fark she can come out to buy, sit down and eat...later also must go back wat, haha siao cb, hor cb ki siao"
0,is this a valid excuse???? so let's say she sit on the chair kena covid then go back home spread to grandkids and son how ah?
1,This type of old hag needs someone to give her a good solid pump.
0,"Actually elderly quite poor thing wor...not everyone old liao can stay home got pp go buy essential for them one hor. ownself go buy food, tired liao sit down makan y cannot? Not like got crowd around her...gov should give leeways for elderly"
0,Siao liao I think CB going extend Limpeh going take no pay leave already
1,The self entitled generation was created by PAP so no complaints please. Govt created these idiots & now complain they are not compliant. Pfftt!!
1,Are u farking stupid or something?
1,Maybe need to cane these metal teeth people then they will comply
0,"Hand to heart, u seriously think this CB got use meh?"
1,KNN Ownself die no one care. Don’t spread to others.
1,this type should let her die of covid jitao burn waste oxygen only
0,"wtf why bully elderly, who is likely demented? how is what she is doing worse than the joggers without masks? since MOH already said there is no community spread and the risk of infection is very low, are the CB measures disproportionate? true to our visionary PM Lee's forecast, our curve has flattened after the 11th day. we should begin to review our measures and allow people to eat while maintaining safe distance, for the long term."
0,I'm not condoning her act but she sure has more balls than all keyboard edmwers warrior put together......
1,Fking arrest her and jail her Or force her do hard labour at expo Clean all infected banglas bedsheet la
0,"law has to be enforced la, should just arrest. fining should be only if the person complies immediately after the fine is issued. she doesn't look like she's going to budge."
1,"""lau ahmah, mai kwailan leh, knn tan limpeh hoot li eh lau cb hor li si"
0,"Her back pain. But now she cannot enjoy her meal in peace. Need to scold n curse through her meal. Affect her emotion and mood, lagi worse.."
1,They better don’t breed
0,Govt is now trying to make good a wrong hence they did a CB despite risk to Economy and Ge . So what is wrong with complying
1,He is right. You guys are selfish psychopaths who look at FW as pariah trash and blame them for your own mistakes. Utter pure garbage 3rd world mentality with 1st world infrastructure. No wonder Singaporeans are despised by their neighbours
0,sinkies really... pwn sinkies
1,another one of those stupid PG/MG IBs. these peepur welly ish JLB die better
1,"Diam la sjw, fw not getting any sexual release go jerk them off."
1,siao ding dong
0,"Actually i agree that FW is the victim here, 1st its the Wuhan couple that spread to the church congregation."
1,queen of uglies.
0,"I hope this is just for wayang purposes, and that her actual time is not spent doing grunt work that the masses can do."
0,"If only comment about SG I think still ok since is sinkie, as long don't go kpo comment about other countries."
1,Daft people ken's brainwashed cant help
1,"well, she's useless elsewhere anyway."
1,They meeting you say they hide in their ivory tower. Not knowing the ground. They at ground you want them go meeting at their ivory tower. Now what you want? Make up your bloody mind before you open your mouth.
1,What you mean comrade? Down with the lazy useless oppies !
1,Lol TS use your brain more ....
1,"Alamak, donch tell me TS is so naive as to believe in the wayang? Born yesterday, issit?"
1,"lol, TS is a brainwashed americanised lemming. If the world gets rid of the US, humanity will take a giant step towards world peace and solidarity."
1,Siao lang using IMH WiFi typing nonsense again..
0,lol TS attracted all the defenders in
1,Just nuke China.. do it good. Don't be like Japan so greedy... Just make sure all Chinese in China back then was killed especially the leaders of that era... No such problem will we have today.
0,"TS if you are chinese, you know that if CHINA gets taken down, the rest of the world's chinese will be next right? especially China does a lot of damage in return"
1,Mai gay siao la CCP IB. U only wanna hide behind reputable oversea Chinese becos u know you caused big trouble worldwide and ppl are waiting hold u to account.
1,"lol stupid boy I am not commenting whether China did anything wrong or not. I am just saying if China goes down, ALL chinese goes down as well."
1,"KNN now trying to blend in with us to shield u from danger. Such cowards, Humji say humji lah"
0,"you don't understand. If full scale war between the west and the China happens, there will be deaths in the west even if China loses."
1,"yes, i dont understand at all. i totally dont understand the thinking of commies so forgive me."
1,"I don't a sh*t nor support USA or China. Can someone just nuke China for sake of humanity Yes, i'm a Chinese sinkie"
0,"if china is nuked, u r nuked too"
1,CCP IB confirm. Don’t carry fools on your back.
0,"Please refrain from racial epithets. Yes, China is a bad actor. That doesn't mean all Chinese people are bad. "
1,Cos not everyone is a Washington hoe like u? Sounds like a 9gag fanatic at the same time
1,Idiot Tiongs. Keep coming over to fuel our property.. shld ban them
0,"The virus don’t give a crap whether or not u r tiong or Singaporean That is why the world should unite. There is nothing anti-china. There is nothing anti-chinese. The correct attitude is to avoid ccp killing people in China and outside China the 3rd, the 4th time and so on. Becos anyone can die and it can be our closed ones, and that is why u shouldn’t have blood in your hands"
1,Anyone who reads the nonsense will say your brains got fault
1,Their IQ are all below average. Their thinking are like children. They dont think of the future consequences. 
1,Fug the pap. Fug the wp. Fug the sdp. Fug the sda. Fug the psp. Fug the CCP. Fug the ussr. Fug the USA. Fug ts.
1,fark this fark that is that all the IBs are good for now that their so-called Team A pull blunder after blunder? Maybe they forgot one fark and that go fark yourself ha ha 
1,I Think Your Brain Need A Mask Too
0,Yes. You will need to wear a mask.
1,"Kbkb, erection still retain power. You guys really cannot make it"
1,TS don't need brain if not using right?
1,Circuit breaker really accelerate their mental illness
0,The circuit breaker is just copying what New Zealand is doing
